company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
Yellowstone Electric Co.,http://yecomt.com,Billings,Montana,T5,1 Core,P3,Batch 2,313.0,Verified,Mixed,Mixed,Strong,22.0,1937.0,Private,,"lowered — from P2. Two reasons, both from their own materials: the capabilities page shows no MV, substation or switchgear content at all while carrying fire alarm, voice/data cabling, security, solar, EV and residential lines, so scope is ","1937 — CONFIRMED from their own site: ""Since our founding in 1937, Yellowstone Electric Co. has emerged as one of the top electrical contracting firms in the nation"" (https://www.yecomt.com/company/), with the origin traced to Carl W. Benne","Zachary Rieker, PE (Owner) and Trent Sampson (Owner, Project Manager); Kevin Titus is President and Ken Hatfield Vice President (https://www.yecomt.com/company/). Multi-owner working principals, not a hired-CEO structure and not a named fou","independent private, multiple working owners — CONFIRMED from the company page. No ESOP language, no parent, no sponsor.",Medium,ElecInfra + FromPete,3503106.0,"1937 Billings contractor, 22 staff, ""maintenance, and repair"" plus ""24/7 emergency services"" to industrial and government; no MV or substation evidence."
"Newsome Electrical Construction, LLC",http://nec-llc.com,Augusta,,T4,1 Core,P3,Batch 2,314.0,Verified,Mixed,Mixed,Mixed,17.0,2009.0,Family Owned,,"confirmed — the preventative-maintenance and infrared-testing language is better than the Inven blurb suggested, but the published customer list is heavily GC/developer, the scope is LV-and-branch-circuit rather than MV/substation, and the ","2009 — CONFIRMS the Inven figure (17 years, clears the 10-year bar but short of the 10+ ideal by a wide margin)","Chris Newsome, founder and CEO (https://nec-llc.com/about/) — founder-owner, apparent tenure since 2009","independent private / founder owned — founder still in the CEO seat; no parent, affiliate or investor reference on the domain",Medium,S1/S2 (new 14 Aug),22249029.0,"'Electrical construction' with 'installations, maintenance, and repairs' for manufacturing and retail customers; 17 staff, founded 2009, construction-led, no MV"
"SR Diversified, LLC",http://srdiversified.com,El Dorado Hills,California,T3,1 Core,P3,Batch 2,315.0,Verified,Mixed,Mixed,Mixed,21.0,,Private,,"confirmed (P3) — direct PG&E/SCE/SMUD/Cal-Am relationships are genuinely valuable, but the book is lumpy heavy-civil capital work with no MSA evidence, the company is only 12 years old with leadership installed in 2020, and size straddles t",2014,"Natane Rogers, President & Partner; Hamza Abed, Program Manager & Partner (https://srdiversified.com/our-team/). Rogers has ""more than 23 years of experience"" in construction and ""assumed leadership in 2020"" per https://www.comstocksmag.com","independent private — CPUC-Certified Women-Owned Business Enterprise, VON 14060042 (https://srdiversified.com/about/). No parent, no sponsor.",Medium,ElecInfra + FromPete,11251496.0,"""Electrical construction, vault rehabilitation"" for ""utility companies and construction firms"" - rehab is right work, but construction-firm customers are an int"
"U.S. Utility Contractor Co., Inc.",http://usutilitycontractors.com,Perrysburg,,T3,1 Core,P3,Batch 2,316.0,Verified,Mixed,Mixed,Mixed,19.0,,Family Owned,,"confirmed at P3 — 37 years of independent operation and a utility trade keep it in the pool, but the model could not be verified from the company's own materials (deeper pages robots-blocked), telecom leads the service list, M/WBE status po",1989 (February 1989),"Not named on the company's own site — the site refers only to a ""diversified management team with an average of 30 years in the industry"". CB Insights states the company is owned by Stanley Chlebowski, an Ohio businessman who also owns Maum","independent private, but FLAGGED: per CB Insights (aggregator, LOW confidence) the owner holds it alongside two unrelated operating companies (Maumee Assembly & Stamping, Reliance Rental & Leasing), i.e. one holding in a private owner's por",Low,FromPete,55994186.0,"Utility contractor in ""telecommunications, electrical construction, and project management"" with installation and maintenance; 19 employees, telecom share dilut"
Circle Electric,http://circleelectric.com,Butler,,T5,1 Core,P3,Batch 2,317.0,Verified,Mixed,Mixed,Strong,32.0,,Private,,"lowered — the list screen read ""24/7 emergency, healthcare and manufacturing customers"" as a service model, but the company's own materials show a commercial and light-industrial contractor with a design-build segment and a low-voltage divi",1983,[unknown] — no leadership page and no named principal on the website or in the Waukesha County Business Alliance directory listing (https://members.waukesha.org/member-directory/Details/circle-electric-inc-4470331). Only aggregator-sourced ,"independent private (inferred) — no parent, investor, ESOP or 'family of companies' language on the site or in the chamber listing; Inc. lists it as a standalone company. Not confirmed by a primary source.",Medium,FromPete,994952.0,"""Installation, repair, and maintenance"" with 24/7 emergency service for healthcare and manufacturing; 32 employees in box; no MV or testing content stated."
Circuit Electric Inc.,http://circuitelectric.com,Byron Center,,T5,1 Core,P3,Batch 2,318.0,Verified,Mixed,Mixed,Strong,61.0,,Private,,"confirmed at P3 - zero model evidence could be retrieved from the company's own materials, and no fact about scope, maintenance base or MV content was verified","[unknown] - two low-confidence aggregators contradict each other: BBB 'Business Started: 1/1/1978, Incorporated: 11/22/1978' vs WestMichiganNetwork 'Year Established: 2015'","[unknown] - conflicting low-confidence sources: BBB lists 'Mr. Peter Bultsma, President/Owner'; WestMichiganNetwork lists owner 'Nicole Kegel'. Neither confirmed from company materials.",independent private (supplied list: ownership_inven 'Private'); no parent or investor found - but NOT structurally verified because the site is unreadable,Low,FromPete,506722.0,"""Construction, design/build services, and 24/7 support"" for education and healthcare clients; 61 employees in box but design-build construction leads the offeri"
"Custom Electric, INC.",http://customelectricusa.com,Manchester,Connecticut,T5,1 Core,P3,Batch 2,319.0,Verified,Mixed,Mixed,Strong,32.0,,Private,,"confirmed at P3 — trade, geography, age (40+ years) and size all look right and NO gate fired, but the website will not render to a fetcher so no model evidence could be established in either direction. The single fact that would move this:","[unknown] exact year — '40+ years of experience' (https://customelectricusa.com/about-us/), which puts founding at roughly 1985 or earlier (INFERENCE from the 40+ claim, not a stated year) and comfortably clears the 10+ year test",[unknown] — no leadership names retrievable,"[unknown], presumed independent private — no parent, affiliate, PE or family-of-companies language was found, the company is on its own domain and the domain does not redirect off-host. Inven tagged it 'Private'. Not confirmed.",Low,ElecInfra,4030016.0,"Commercial, industrial and municipal ""projects"" plus data communication wiring, with ""installations and maintenance"" for healthcare and government; 32 employees"
Electrico Inc,http://electrico.net,Wood River,Illinois,T5,1 Core,P3,Batch 2,320.0,Verified,Mixed,Mixed,Strong,57.0,,Private,,"lowered (was P2) — reads on its own site as a hospital electrical construction and construction-management contractor: Building Maintenance is one line among four with no service department, dispatch or testing evidence behind it, and separ",1957,"[unknown] currently — only founder William F. Porter is named on the site; there is no leadership, team or ownership page anywhere on electrico.net (Home, Services, Certifications, Projects, Contact all checked)","independent private (INFERRED — no parent, sponsor, affiliates page or family-of-companies language on electrico.net; single location; no ownership statement published)",Medium,ElecInfra,10643374.0,"'Over 60 years', 57 heads, 'commercial and industrial installations, building maintenance' for 'hospitals and government entities'; construction management dilu"
"Elite Power, Inc.",http://elitepower.com,Sacramento,,T5,1 Core,P3,Batch 2,321.0,Verified,Mixed,Mixed,Strong,20.0,,Private,,"lowered (P2 -> P3) — this is driven by evidence, not by the unknowns: their own six published project categories are lighting, general installs, security and cable networking, with no medium-voltage, switchgear or testing content anywhere, ","[unknown] — the website is JavaScript-gated and served only 'You are being redirected...Javascript is required' to every HTML fetch (root, /about/, /services/, /clients/, www and non-www). The only datable evidence is their own XML sitemap:","Walt Zacharias, President — CONFIRMED from the company's own site structure: they publish a page at https://www.elitepower.com/walt-zacharias-president/ (listed in their own sitemap at https://www.elitepower.com/page-sitemap.xml). Corrobora","independent private, owner-led (INFERRED from the owner/president page on their own site and the absence of any parent or investor result) — not confirmed from readable company materials",Low,FromPete,693980.0,"'Installation, maintenance, and emergency electrical services' with 24/7 dispatch for healthcare, education and government; 20 employees, private."
Lakewood Electric Company,http://lakewoodelectriccompany.com,Englewood,,T5,1 Core,P3,Batch 2,322.0,Verified,Mixed,Mixed,Strong,46.0,,Private,,"confirmed (P3), with founding year now established at 1976 — 50 years, independent and credibly in the size box, but the readable site shows a commercial construction and buildout book with multi-family residential in the mix and no service",1976,"[unknown] — the About page names no individuals, no founder and no officers","independent private — no parent, sponsor or portfolio language found; ownership names [unknown]",Medium,FromPete,3031747.0,"Serves 'from businesses to homeowners' across commercial, industrial and residential projects in Denver over 40 years; residential exposure is a negative."
